Trial,Event,Value,Timestamp
4,TrialITI,1.8,2024-04-02T15:14:41.3494400+01:00
4,StimOn,1,2024-04-02T15:14:43.1775872+01:00
4,StimOn,0,2024-04-02T15:14:44.1661568+01:00
4,PictureID,4,2024-04-02T15:14:44.1663488+01:00
4,TrialITI,1.7,2024-04-02T15:14:44.1664512+01:00
4,StimOn,1,2024-04-02T15:14:45.8946944+01:00
4,StimOn,0,2024-04-02T15:14:46.8831616+01:00
4,PictureID,3,2024-04-02T15:14:46.8833664+01:00
4,TrialITI,1.1,2024-04-02T15:14:46.8834688+01:00
4,StimOn,1,2024-04-02T15:14:47.9950464+01:00
4,StimOn,0,2024-04-02T15:14:48.9834240+01:00
4,PictureID,2,2024-04-02T15:14:48.9836160+01:00
4,TrialITI,1,2024-04-02T15:14:48.9837056+01:00
4,StimOn,1,2024-04-02T15:14:49.9953408+01:00
4,StimOn,0,2024-04-02T15:14:50.9836672+01:00
5,PictureID,4,2024-04-02T15:14:50.9840384+01:00
5,TrialITI,1.4,2024-04-02T15:14:50.9841280+01:00
5,StimOn,1,2024-04-02T15:14:52.3992576+01:00
5,StimOn,0,2024-04-02T15:14:53.3839616+01:00
5,PictureID,1,2024-04-02T15:14:53.3841408+01:00
5,TrialITI,1.6,2024-04-02T15:14:53.3842176+01:00
5,StimOn,1,2024-04-02T15:14:55.0162944+01:00
5,StimOn,0,2024-04-02T15:14:56.0009728+01:00
5,PictureID,6,2024-04-02T15:14:56.0012160+01:00
5,TrialITI,1.7,2024-04-02T15:14:56.0013440+01:00
5,StimOn,1,2024-04-02T15:14:57.7334400+01:00
5,StimOn,0,2024-04-02T15:14:58.7179648+01:00
5,PictureID,7,2024-04-02T15:14:58.7181440+01:00
5,TrialITI,1.7,2024-04-02T15:14:58.7182464+01:00
5,StimOn,1,2024-04-02T15:15:00.4505984+01:00
5,StimOn,0,2024-04-02T15:15:01.4350208+01:00
5,PictureID,3,2024-04-02T15:15:01.4352768+01:00
5,TrialITI,1.8,2024-04-02T15:15:01.4354304+01:00
5,StimOn,1,2024-04-02T15:15:03.2681856+01:00
5,StimOn,0,2024-04-02T15:15:04.2520192+01:00
5,PictureID,9,2024-04-02T15:15:04.2521984+01:00
5,TrialITI,1.4,2024-04-02T15:15:04.2522752+01:00
